modality,gene,cell_type,bla_mean,mpfc_mean,bla_frac,mpfc_frac,log2fc,frac_diff,bla_rank,mpfc_rank
10x,Adra1b,Astro-TE NN,0.7849936734012539,0.9385700807065763,0.11551724137931034,0.1317288999128511,-0.2548109850101264,-0.01621165853354077,7,7
10x,Adra1b,Lamp5 Gaba,4.081602175331126,4.092966302072539,0.6374172185430463,0.5966225292650164,-0.0040014260297539855,0.04079468927802998,3,4
10x,Adra1b,Lamp5 Lhx6 Gaba,0.1709100017699115,0.12877491748071979,0.028023598820058997,0.02056555269922879,0.3825253356043672,0.007458046120830206,9,9
10x,Adra1b,Microglia NN,0.057382086810512656,0.10551234836582149,0.007949383517196625,0.014216620255019786,-0.7776100709241105,-0.006267236737823161,10,10
10x,Adra1b,Pvalb Gaba,0.7367755360387194,1.1864248748969497,0.13849590469099032,0.2015663643858203,-0.6799832394430337,-0.06307045969482997,5,5
10x,Adra1b,Pvalb chandelier Gaba,0.5088799102870813,0.7297176035460993,0.09330143540669857,0.12411347517730496,-0.5115739294880755,-0.030812039770606398,8,8
10x,Adra1b,Sncg Gaba,5.295321426611419,5.0387216476753665,0.7559852670349908,0.6700652528548124,0.0715220213304897,0.08592001418017836,2,3
10x,Adra1b,Sst Chodl Gaba,2.585556263169643,4.756797821531101,0.43080357142857145,0.715311004784689,-0.8769766754091483,-0.28450743335611756,4,2
10x,Adra1b,Sst Gaba,0.7295382439248754,1.0543347674112442,0.13645074741280183,0.1757850437034639,-0.5252553352532354,-0.03933429629066207,6,6
10x,Adra1b,Vip Gaba,6.377110208841903,5.870909451782494,0.7948101874098991,0.7252046053544181,0.11912406672988565,0.06960558205548095,1,1
10x,Adra1d,Astro-TE NN,0.0006686586938349007,0.0033106546289468396,0.0001044932079414838,0.0004692632566870014,-0.3192027197138154,-0.0003647700487455176,8,8
10x,Adra1d,Lamp5 Gaba,0.024266831043046357,0.023521866551525616,0.004966887417218543,0.00422183841872961,0.0317102963974022,0.0007450489984889329,3,4
10x,Adra1d,Lamp5 Lhx6 Gaba,0.006749265486725663,0.0,0.0014749262536873156,0.0,0.7440978297857352,0.0014749262536873156,5,9
10x,Adra1d,Microglia NN,0.0011641262816353018,0.005468780155356881,0.00016223231667748214,0.0007328154770628756,-0.4704890840446192,-0.0005705831603853935,7,7
10x,Adra1d,Pvalb Gaba,0.16916505956813105,0.04730625059769167,0.03648548026805659,0.00886232481450948,1.6445249005766533,0.027623155453547113,1,1
10x,Adra1d,Pvalb chandelier Gaba,0.0,0.0,0.0,0.0,0.0,0.0,9,9
10x,Adra1d,Sncg Gaba,0.008064902302025783,0.004576543800978793,0.001841620626151013,0.0008156606851549756,0.30954076518578283,0.0010259599409960375,4,6
10x,Adra1d,Sst Chodl Gaba,0.0,0.03538878086124402,0.0,0.007177033492822967,-2.182335738131316,-0.007177033492822967,9,2
10x,Adra1d,Sst Gaba,0.09283936489076275,0.027307441879788497,0.019931008049060943,0.005395489370885939,1.4628572605664676,0.014535518678175003,2,3
10x,Adra1d,Vip Gaba,0.0024597701105237867,0.012244997475378,0.0004805382027871216,0.0019420169232903315,-0.8362034846736914,-0.00146147872050321,6,5
10x,Adra2a,Astro-TE NN,0.5590102122048067,0.9961805043306294,0.0835423197492163,0.13984045049272642,-0.8223626910909128,-0.056298130743510116,5,2
10x,Adra2a,Lamp5 Gaba,0.44218998245033114,0.6122338416618691,0.08526490066225166,0.1026674342736519,-0.46052782956437144,-0.017402533611400234,4,3
10x,Adra2a,Lamp5 Lhx6 Gaba,0.09317775604719764,0.0,0.014749262536873156,0.0,3.3670600704992784,0.014749262536873156,10,10
10x,Adra2a,Microglia NN,0.11588508531797534,0.07876781040597977,0.016060999351070734,0.010405979774292832,0.5039988482479053,0.005655019576777902,9,7
10x,Adra2a,Pvalb Gaba,0.11585491332836932,0.02013425072135202,0.023827252419955324,0.0039159109645507005,2.0622854416754133,0.019911341455404623,8,8
10x,Adra2a,Pvalb chandelier Gaba,0.12871215933014354,0.021870401773049646,0.023923444976076555,0.0035460992907801418,2.1218051463782515,0.020377345685296415,7,9
10x,Adra2a,Sncg Gaba,2.3760823563535913,1.4229545399265906,0.42357274401473294,0.2398042414355628,0.7356509977097884,0.18376850257917013,1,1
10x,Adra2a,Sst Chodl Gaba,0.8783922430803572,0.15903411889952151,0.16071428571428573,0.02631578947368421,2.3938823177190454,0.13439849624060152,3,6
10x,Adra2a,Sst Gaba,1.3577246286699884,0.48362554204165314,0.24185511690302797,0.08427754397323838,1.4702888419379048,0.15757757292978958,2,4
10x,Adra2a,Vip Gaba,0.4436184145122537,0.5089338289360521,0.07592503604036521,0.07837425440421696,-0.19407137996115262,-0.0024492183638517434,6,5
10x,Adra2b,Astro-TE NN,0.00034533085161964473,0.0004896796943085071,5.22466039707419e-05,6.703760809814306e-05,-0.019990841007544953,-1.479100412740116e-05,3,2
10x,Adra2b,Lamp5 Gaba,0.008152493543046356,0.006227330147764345,0.0016556291390728477,0.0009595087315294569,0.1617420841888948,0.0006961204075433908,2,1
10x,Adra2b,Lamp5 Lhx6 Gaba,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2b,Microglia NN,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2b,Pvalb Gaba,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2b,Pvalb chandelier Gaba,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2b,Sncg Gaba,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2b,Sst Chodl Gaba,0.008673361607142858,0.0,0.002232142857142857,0.0,0.9009816671139999,0.002232142857142857,1,6
10x,Adra2b,Sst Gaba,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2b,Vip Gaba,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2c,Astro-TE NN,0.03840703297283177,0.04984977092578937,0.005590386624869384,0.0070389488503050214,-0.30612905592549405,-0.0014485622254356376,10,8
10x,Adra2c,Lamp5 Gaba,0.63932391647351,0.45248203095375167,0.11258278145695365,0.07599309153713299,0.48954103600104615,0.03658968991982066,6,4
10x,Adra2c,Lamp5 Lhx6 Gaba,0.11108839380530974,0.04580707583547558,0.019174041297935103,0.007712082262210797,1.1175406313376168,0.011461959035724306,8,7
10x,Adra2c,Microglia NN,0.041051014860480205,0.04815546917778104,0.005678131083711875,0.006448776198153305,-0.18797523379779768,-0.0007706451144414298,9,9
10x,Adra2c,Pvalb Gaba,0.9716114055845122,0.2899018755152515,0.18540580789277736,0.0521434460016488,1.7106614676192307,0.13326236189112856,4,5
10x,Adra2c,Pvalb chandelier Gaba,0.12144331291866028,0.02155925709219858,0.023923444976076555,0.0035460992907801418,2.0583055980892015,0.020377345685296415,7,10
10x,Adra2c,Sncg Gaba,2.7066909577348066,1.5722853125611744,0.48342541436464087,0.2724306688417618,0.779840693055798,0.21099474552287906,1,1
10x,Adra2c,Sst Chodl Gaba,0.6627437455357142,0.17785848205741628,0.13169642857142858,0.03349282296650718,1.8404108162379336,0.09820360560492139,5,6
10x,Adra2c,Sst Gaba,1.4337446697201992,0.9604743934498758,0.26791874281333844,0.16672062156037554,0.5730535679558785,0.1011981212529629,2,2
10x,Adra2c,Vip Gaba,1.5628397070639117,0.6873192754057428,0.26189332051898123,0.10916909418782078,1.173480382267815,0.15272422633116045,3,3
10x,Adrb1,Astro-TE NN,1.6581768357419018,0.8063722088623718,0.24341692789968652,0.1144331970235302,1.0309732545943437,0.12898373087615633,10,10
10x,Adrb1,Lamp5 Gaba,2.187206533195364,1.7313172163308386,0.3841059602649007,0.27998464786029553,0.33549144353758337,0.10412131240460515,7,9
10x,Adrb1,Lamp5 Lhx6 Gaba,2.4349386,2.167579096658098,0.41150442477876104,0.34704370179948585,0.16707311199255886,0.06446072297927519,6,5
10x,Adrb1,Microglia NN,2.7915655403796236,2.228630735497582,0.35788449059052563,0.28008207533343105,0.323616669910867,0.07780241525709458,8,8
10x,Adrb1,Pvalb Gaba,3.2612916202531648,2.7478079588829347,0.5755770662695457,0.46331409727947237,0.2463383769533466,0.11226296899007338,2,2
10x,Adrb1,Pvalb chandelier Gaba,3.714735471291866,3.2647802868794327,0.6220095693779905,0.5212765957446809,0.18573985387434455,0.10073297363330957,1,1
10x,Adrb1,Sncg Gaba,3.0206672406077346,2.4790112941272433,0.5174953959484346,0.4078303425774878,0.2840626799482431,0.10966505337094684,4,3
10x,Adrb1,Sst Chodl Gaba,1.8347387020089285,1.9929031184210528,0.3482142857142857,0.34688995215311,-0.11867615861180696,0.0013243335611756724,9,6
10x,Adrb1,Sst Gaba,3.1103862826753548,2.0210792281752457,0.5327711766960521,0.3413186576022445,0.6194781187481457,0.19145251909380762,3,7
10x,Adrb1,Vip Gaba,3.325786380826526,2.4095580571507837,0.5040845747236905,0.34873075322513525,0.4632833465225839,0.15535382149855526,5,4
10x,Adrb2,Astro-TE NN,0.018543008234064785,0.004687681631695382,0.0028735632183908046,0.0006703760809814306,0.9585307002950527,0.002203187137409374,3,7
10x,Adrb2,Lamp5 Gaba,0.0,0.012128278123200921,0.0,0.002110919209364805,-1.1458911944843213,-0.002110919209364805,9,4
10x,Adrb2,Lamp5 Lhx6 Gaba,0.017574766371681417,0.030118911053984572,0.0029498525073746312,0.005141388174807198,-0.5409337848905114,-0.0021915356674325663,2,3
10x,Adrb2,Microglia NN,3.9375712693380924,3.463509960940935,0.5027579493835171,0.43104206360838343,0.1845710781599705,0.07171588577513371,1,1
10x,Adrb2,Pvalb Gaba,0.003132427103499628,0.0031902002679307503,0.0007446016381236039,0.0006183017312448475,-0.006332893026339369,0.0001262999068787564,8,8
10x,Adrb2,Pvalb chandelier Gaba,0.0,0.04107580496453901,0.0,0.0070921985815602835,-2.3526400362898228,-0.0070921985815602835,9,2
10x,Adrb2,Sncg Gaba,0.005144624309392266,0.0047377911908646,0.0009208103130755065,0.0008156606851549756,0.03928547142961982,0.00010514962792053091,7,6
10x,Adrb2,Sst Chodl Gaba,0.009809190625,0.0,0.002232142857142857,0.0,0.9861699349899797,0.002232142857142857,4,10
10x,Adrb2,Sst Gaba,0.0070275195477194335,0.0021018640444588326,0.0015331544653123803,0.00043163914967087513,0.4926390061441664,0.001101515315641505,6,9
10x,Adrb2,Vip Gaba,0.010888217539644402,0.008566687820779581,0.0019221528111484864,0.0013871549452073796,0.1699729171490902,0.0005349978659411067,5,5
10x,Adrb3,Astro-TE NN,0.0020310430355276903,0.002553836274049742,0.00031347962382445143,0.0003351880404907153,-0.06136657577106266,-2.1708416666263886e-05,6,7
10x,Adrb3,Lamp5 Gaba,0.07221745629139073,0.11373874951065055,0.014072847682119206,0.018806371137977354,-0.5897807169641439,-0.004733523455858148,3,1
10x,Adrb3,Lamp5 Lhx6 Gaba,0.0,0.0,0.0,0.0,0.0,0.0,9,9
10x,Adrb3,Microglia NN,0.001198381829980532,0.00306328337974498,0.00016223231667748214,0.00043968928623772536,-0.22222727799400907,-0.0002774569695602432,7,6
10x,Adrb3,Pvalb Gaba,0.12359565941921072,0.07811816982687551,0.02531645569620253,0.014633140972794724,0.6003616984250391,0.010683314723407807,1,3
10x,Adrb3,Pvalb chandelier Gaba,0.0,0.0,0.0,0.0,0.0,0.0,9,9
10x,Adrb3,Sncg Gaba,0.050476799079189685,0.04414668756117455,0.010128913443830571,0.008156606851549755,0.15950869924373917,0.0019723065922808165,4,4
10x,Adrb3,Sst Chodl Gaba,0.0,0.0,0.0,0.0,0.0,0.0,9,9
10x,Adrb3,Sst Gaba,0.07126816895362208,0.0987749101003561,0.014181678804139517,0.0178051149239236,-0.42058353003134774,-0.0036234361197840844,2,2
10x,Adrb3,Vip Gaba,0.018897230898606437,0.02313152331807463,0.003363767419509851,0.003606602857539187,-0.19727328515452686,-0.00024283543802933617,5,5
10x,Drd1,Astro-TE NN,0.039336857518286306,0.020998687624857543,0.005747126436781609,0.0030166923644164376,0.670458688793379,0.0027304340723651715,10,10
10x,Drd1,Lamp5 Gaba,1.1255171397350994,0.7792880561312607,0.20612582781456953,0.12742275954711188,0.524725659572281,0.07870306826745765,4,4
10x,Drd1,Lamp5 Lhx6 Gaba,0.3519205296460177,0.23163016478149098,0.061946902654867256,0.03598971722365039,0.5828723757329866,0.02595718543121687,8,8
10x,Drd1,Microglia NN,0.04769712470798183,0.022576987292979626,0.006489292667099286,0.0030778250036640775,0.8246462348995007,0.0034114676634352087,9,9
10x,Drd1,Pvalb Gaba,0.8528070615040952,1.6283366179307501,0.17051377513030527,0.28441879637262985,-0.9251219190533065,-0.11390502124232457,5,2
10x,Drd1,Pvalb chandelier Gaba,1.3935388619617224,0.6337113226950355,0.2583732057416268,0.10638297872340426,1.1245832597733576,0.15199022701822257,2,5
10x,Drd1,Sncg Gaba,0.8134675300184162,0.8066996111337683,0.15101289134438306,0.1370309951060359,0.011906223682377665,0.013981896238347169,6,3
10x,Drd1,Sst Chodl Gaba,4.248939327901786,4.1162634940191385,0.6808035714285714,0.6555023923444976,0.04565822618961338,0.02530117908407381,1,1
10x,Drd1,Sst Gaba,1.412123117746263,0.4295687490449984,0.2552702184745113,0.07607640012949174,1.693885641837958,0.17919381834501957,3,7
10x,Drd1,Vip Gaba,0.4645782452666987,0.510956027895686,0.07832772705430081,0.077819392426134,-0.13451563601782687,0.0005083346281668094,7,6
10x,Drd2,Astro-TE NN,0.016832196630094044,0.005052658262385198,0.0025078369905956114,0.0007374136890795736,0.8339468804489433,0.001770423301516038,9,9
10x,Drd2,Lamp5 Gaba,0.33378530579470195,0.2280651773172136,0.058774834437086095,0.03684513529073115,0.5301512742531898,0.021929699146354946,3,4
10x,Drd2,Lamp5 Lhx6 Gaba,0.30372762315634216,0.14539403624678662,0.05309734513274336,0.02313624678663239,1.013581424815054,0.02996109834611097,5,5
10x,Drd2,Microglia NN,0.01291528930889033,0.006573642136889931,0.0017845554834523037,0.0008793785724754507,0.4674198235492794,0.000905176910976853,10,8
10x,Drd2,Pvalb Gaba,0.2535638549516009,0.11582393602638086,0.04765450483991065,0.020610057708161583,1.0667461348699316,0.027044447131749066,6,6
10x,Drd2,Pvalb chandelier Gaba,0.037761304784689,0.0,0.007177033492822967,0.0,2.2558422499336936,0.007177033492822967,8,10
10x,Drd2,Sncg Gaba,0.2990610806629834,0.6539139822185971,0.05432780847145488,0.11215334420880914,-1.103104345319411,-0.05782553573735426,4,2
10x,Drd2,Sst Chodl Gaba,0.6211311816964286,0.3626366502392344,0.11830357142857142,0.05741626794258373,0.7601703271787614,0.06088730348598769,2,3
10x,Drd2,Sst Gaba,0.7467219186278268,0.7186572224560268,0.13530088156381756,0.1211826912700982,0.05452293737584367,0.014118190293719357,1,1
10x,Drd2,Vip Gaba,0.06879836775588659,0.048908509196837285,0.011532916866890917,0.007629352198640588,0.4196897026925946,0.003903564668250329,7,7
10x,Drd3,Astro-TE NN,0.061293421985370945,0.0038010016491251595,0.008202716823406479,0.0005363008647851445,2.3689959912538834,0.007666415958621334,2,6
10x,Drd3,Lamp5 Gaba,0.004508747516556291,0.00537158234503934,0.0008278145695364238,0.0009595087315294569,-0.08334270061245787,-0.00013169416199303305,7,3
10x,Drd3,Lamp5 Lhx6 Gaba,0.0,0.0,0.0,0.0,0.0,0.0,9,9
10x,Drd3,Microglia NN,0.004618284912394549,0.0,0.0006489292667099286,0.0,0.5477740572870237,0.0006489292667099286,8,9
10x,Drd3,Pvalb Gaba,0.010993958823529411,0.0040485460016488044,0.0022338049143708115,0.0008244023083264633,0.5795534188641382,0.001409402606044348,5,4
10x,Drd3,Pvalb chandelier Gaba,0.0,0.021738441134751773,0.0,0.0035460992907801418,-1.6662312705047815,-0.0035460992907801418,9,2
10x,Drd3,Sncg Gaba,0.014449798066298343,0.0025090986949429035,0.0027624309392265192,0.0004078303425774878,0.9668447055964644,0.0023546005966490315,4,8
10x,Drd3,Sst Chodl Gaba,0.2171108265625,0.13194091244019138,0.04241071428571429,0.0215311004784689,0.678105996585768,0.020879613807245387,1,1
10x,Drd3,Sst Gaba,0.030231068915293216,0.002979748613359232,0.006132617861249521,0.0005395489370885939,1.632047627951596,0.005593068924160927,3,5
10x,Drd3,Vip Gaba,0.0049144696780394044,0.0029329241226244973,0.0009610764055742432,0.0004161464835622139,0.2056641757947179,0.0005449299220120292,6,7
10x,Drd4,Astro-TE NN,0.0003694662486938349,0.0018072296641415833,5.22466039707419e-05,0.00026815043239257225,-0.1873288685270637,-0.00021590382842183036,6,4
10x,Drd4,Lamp5 Gaba,0.0,0.0009396982536941087,0.0,0.00019190174630589137,-0.12957294526915156,-0.00019190174630589137,8,5
10x,Drd4,Lamp5 Lhx6 Gaba,0.0,0.0,0.0,0.0,0.0,0.0,8,9
10x,Drd4,Microglia NN,0.0,0.0011275538912501834,0.0,0.0001465630954125751,-0.15413648784487696,-0.0001465630954125751,8,6
10x,Drd4,Pvalb Gaba,0.0023602397617274755,0.0312818093569662,0.0007446016381236039,0.005976916735366859,-1.7397994759511077,-0.0052323150972432555,4,3
10x,Drd4,Pvalb chandelier Gaba,0.0,0.0,0.0,0.0,0.0,0.0,8,9
10x,Drd4,Sncg Gaba,0.07706811372007366,0.04379848544045677,0.016574585635359115,0.008564437194127243,0.6945789105888436,0.008010148441231872,1,1
10x,Drd4,Sst Chodl Gaba,0.009776563616071429,0.0,0.002232142857142857,0.0,0.9837917645828977,0.002232142857142857,3,9
10x,Drd4,Sst Gaba,0.0016504012265235724,0.0006208623610661487,0.0003832886163280951,0.00010790978741771878,0.133478729964339,0.00027537882891037627,5,7
10x,Drd4,Vip Gaba,0.014572582027871215,0.045291830628381186,0.0028832292167227293,0.007351921209599112,-1.1700168773248183,-0.004468691992876383,2,2
10x,Drd5,Astro-TE NN,0.0021701456739811912,0.000965641275055306,0.00031347962382445143,0.00013407521619628613,0.1503562530416622,0.0001794044076281653,8,9
10x,Drd5,Lamp5 Gaba,0.0,0.01082606987142583,0.0,0.0017271157167530224,-1.0583906112476613,-0.0017271157167530224,9,7
10x,Drd5,Lamp5 Lhx6 Gaba,0.009849862831858406,0.0,0.0014749262536873156,0.0,0.9891290379737047,0.0014749262536873156,5,10
10x,Drd5,Microglia NN,0.0022669063757300456,0.00546714855635351,0.0003244646333549643,0.0007328154770628756,-0.3344357957810459,-0.0004083508437079113,7,8
10x,Drd5,Pvalb Gaba,0.14698293119880865,0.02682224767106348,0.03052866716306776,0.004740313272877164,2.091958104777201,0.025788353890190595,3,4
10x,Drd5,Pvalb chandelier Gaba,0.2458681485645933,0.03769766666666667,0.04784688995215311,0.0070921985815602835,2.4234099688835262,0.04075469137059283,1,3
10x,Drd5,Sncg Gaba,0.004148946961325967,0.023720588825448613,0.0009208103130755065,0.004078303425774877,-1.252935044554098,-0.0031574931126993706,6,5
10x,Drd5,Sst Chodl Gaba,0.0,0.045819787081339707,0.0,0.007177033492822967,-2.480776621407184,-0.007177033492822967,9,2
10x,Drd5,Sst Gaba,0.18325128298198545,0.1294429931477285,0.03526255270218474,0.023200604294809538,0.47080254973733454,0.012061948407375206,2,1
10x,Drd5,Vip Gaba,0.016704844113407016,0.022795050201137465,0.0028832292167227293,0.003606602857539187,-0.2963766207859988,-0.0007233736408164579,4,6
