subclass,Pde1a,Pde1b,Pde1c,Pde2a,Pde3a,Pde3b,Pde4a,Pde4b,Pde4c,Pde4d,Pde5a,Pde7a,Pde7b,Pde8a,Pde8b,Pde9a,Pde10a,Pde11a
L2/3 IT CTX Glut,8.903358619575023,3.615253517689256,0.6269014776751264,7.22696505612195,0.0665688722406391,2.5754720472256944,4.659510160328243,8.370435450529863,0.03886713259605456,9.292902890679855,0.21111672138470736,4.433487007271344,5.6652017306613764,0.1267456590239661,5.879486998255529,0.6474133676213248,8.762517642416173,0.19410378849519047
L2/3 IT RSP Glut,5.799480878657164,1.8685020315453864,0.4927229110652663,4.648371125956489,0.1522284930232558,1.90354222228057,5.070369802550638,8.522098700525131,0.05006150195048762,8.470832651425356,0.09341242888222055,3.3235022868342083,5.590270878694674,0.02331016339084771,5.6426234153038255,0.0521795336084021,8.977843119054764,0.0801556963615904
L4/5 IT CTX Glut,8.700852395093548,4.070351637012458,1.0427938411696707,6.512155314770732,0.040635720863124544,1.8751305809222074,6.891509157914116,9.17898665380828,0.07114913408828188,8.83405939631802,0.23475257362246865,4.283215018238644,4.9189545643747055,0.0824306054116539,6.615017048914672,0.41762765377831057,9.257742527293745,0.1588528880720983
L5 IT CTX Glut,8.967019447969374,3.2605079984420775,1.4798133778029294,6.152576077037284,0.02274262603861518,1.8895071113781623,7.21504673677763,9.122108168195739,0.09504398272303595,9.251773652729693,0.08308657232356857,4.11956411719707,3.1897108961051934,0.08293689870173103,5.789891728455393,0.1674261828894807,8.893132631198402,0.12157500428761651
L5 ET CTX Glut,9.168964814395796,1.5390680636252188,0.6805633880735551,7.080364651611208,0.025096508073555165,2.9469872530297723,7.417577046234675,7.2300313377583185,0.12539916791593694,9.883485396077058,0.0557331950262697,4.0296362308931695,0.24528257640980736,0.10742584338003502,2.6748758057443083,2.0139061424343256,8.630678201401052,0.3686787965849387
L5 NP CTX Glut,3.778670566144242,1.2943010003586133,0.5801465455438969,6.149858354124054,0.01234741276397928,2.3968837402045424,4.872790437614556,9.376935620613628,0.04128448735555851,7.904657039327932,0.0820295736485589,3.1768120827998407,0.2869068485456236,0.1015143017399389,4.916956878881658,0.6836378037455173,7.709391342236684,0.4560167531279054
L6 IT CTX Glut,8.82016912198318,2.980425339815177,0.622390343609427,6.6620943758507725,0.02487697911206728,2.0947646407637395,6.576301919866028,8.276162654024057,0.09585474464111089,9.98510961614512,0.1775295805789165,4.031390106336789,3.173480528266184,0.06638987342558185,6.090526001486407,0.14431492829063172,8.437476188842167,0.08862852984549188
L6 CT CTX Glut,10.007440325694843,2.6739184159748657,0.6022953228711477,6.973151679378944,0.018129029968191063,2.47639581098712,6.903499469716327,8.623127429811754,0.09715831727068885,10.783643020214319,0.17089089293424417,3.4103919607237834,0.8248932359988528,0.07957247340824947,4.699408610921938,2.302369605629139,8.300225173457788,0.07231166899150024
L6b CTX Glut,10.041013912564491,4.045655234324735,0.5979258158118361,7.084507798239757,0.2068282961760243,2.5173293459180575,6.923205247890743,8.264972407799696,0.0875159420333839,10.568714441820942,0.04987806130500758,3.2743798074658574,0.189085495599393,0.05629761757207891,2.9566235920789072,1.842604117723824,8.145797872685888,0.09981445250379363
L4 RSP-ACA Glut,8.408773926518519,2.2503073314074076,0.5010697838518519,7.549588957185185,0.033051276,2.4563519527407407,7.12523146637037,5.9538482696296295,0.1400043736296296,8.503357988296298,0.03363185525925926,4.359422286666667,3.979861039555556,0.09517189659259259,7.317625909185185,0.09683419422222223,9.409962762518518,0.2142638817777778
Pvalb Gaba,1.3853489754122013,3.422142034934048,0.8672906389942293,5.311534923948887,0.032847906244847486,2.751911483656224,6.6183483360676005,1.866326806409728,0.15007339165292663,8.98220834967024,4.135330022609233,3.5600416357378397,0.9777087186314921,0.37571489556883764,5.930136224525969,2.550097155750206,9.01204809981451,0.12015547687551524
Pvalb chandelier Gaba,1.10440580070922,3.6218926570921988,1.1234529273049645,5.065477856028369,5.241810384042553,2.0862857790780143,6.241156671631206,1.5633692886524824,0.043367046099290776,10.875049207446809,5.802156970921986,3.1335882411347518,1.3329715882978725,0.1511735709219858,3.8732519765957445,3.114293628014184,9.582959715957447,5.645790546453901
Sst Gaba,6.441215614956296,2.945698031444912,3.4939554082874715,6.553711385572462,0.04843364412431207,2.638907440649617,6.059270055400885,2.010891701942376,0.0698376048775224,8.366201229027732,0.31187898624150207,3.575924579799288,1.1070080003992662,0.1532749629869429,6.078949154375742,1.396605479637423,8.609705766936441,0.09706759700010792
Sst Chodl Gaba,11.017362022966505,0.8625908437799042,0.8893369605263157,6.434053648086125,0.8233023667464114,2.2885736688995215,5.014317526794258,7.387058739473685,0.011431514832535884,8.902619942822966,0.10601871124401913,3.130667040191388,0.5315579294258373,0.09207547990430621,5.507224779186602,2.236775776555024,8.583871966267942,0.4122990131578947
Vip Gaba,1.5902945952420586,2.701674009723956,2.9392673754196146,4.674952380427243,1.6767339533777224,2.120879061575808,4.4035933656956585,7.65211309373006,0.026088357788875017,10.050443249244001,3.276171061062561,2.8773788341101403,2.116351261201276,0.4974715499930642,5.105592746372589,1.7473931806075738,9.201941409834928,0.9595984822721598
Lamp5 Gaba,2.87353499890616,2.249117903722894,0.5325955837267319,3.204383455152562,0.17293425904816734,1.978390848493571,4.724061368451353,4.806407878871617,0.03182095979658415,8.074872639819613,1.5393809971214738,2.9140532305123776,3.500906067376703,0.09568402590673575,3.414655354576857,2.0778318972749954,8.897190471157169,6.6743609067549405
Lamp5 Lhx6 Gaba,1.3441790596401029,2.532089841645244,0.42244296426735223,3.418130462467866,0.29956829845758354,2.0813719863753213,4.843233057840617,3.350654519537275,0.05661819383033419,10.987471083804627,2.0369759876606683,2.7566873359897173,2.1787270704370183,0.06253116786632391,3.0046879213367608,0.7284946295629819,9.077068858354755,7.7107742858611825
Sncg Gaba,7.017553224225122,1.51978315819739,2.8573515754486136,3.288033372512235,0.7226516442088091,2.419324247593801,5.0045900631729205,5.576819759706362,0.06270265154975531,9.602633815783035,5.196397569004894,3.834613992944535,3.669163992577488,0.431698516721044,3.7344946443719413,1.4152530402120718,8.737801780587276,4.4977374257748775
