subclass,Htr1a,Htr1b,Htr1d,Htr1f,Htr2a,Htr2b,Htr2c,Htr3a,Htr3b,Htr4,Htr5a,Htr5b,Htr6,Htr7,Adra1a,Adra1b,Adra1d,Adra2a,Adra2b,Adra2c,Adrb1,Adrb2,Adrb3,Drd1,Drd2,Drd3,Drd4,Drd5
L2/3 IT CTX Glut,0.9284385947883267,1.5574036908972337,0.003166835460029346,1.0090278107765882,2.6797253905168197,0.13095200793978587,1.0136323293571001,0.029321133079723928,0.001837908466931145,0.07101053149285365,0.813054233226455,0.1879045402478126,0.20437257343622628,0.9872030050105972,2.096490885940981,0.9351335877778382,0.09849675971958047,0.6975969828813652,0.00028967413184066086,2.871036206314874,4.638277134987229,0.043608735976305636,0.662093135432857,0.20349787691429813,0.021864321042334656,0.004054948850605945,0.08828144351393945,0.011475774354654638
L2/3 IT RSP Glut,0.3759636452363091,0.2630220369467367,0.0028034079144786195,0.7181855828582145,0.697456903188297,0.05058015528882221,7.051762191897975,0.009501700900225056,0.0,1.7986152057014253,0.3919512648912228,0.08852810435108777,0.07001408357089273,2.5782579414853717,0.5386169009752437,0.22879316860465118,0.040242744411102774,0.13470295997749437,0.0,1.4339812245311327,2.7891579011252814,0.12802994579894975,0.24110472190547635,0.05203111061515378,0.01003008105776444,0.002801888222055514,0.0,0.002363406226556639
L4/5 IT CTX Glut,1.2763068929699874,1.1881952003339469,0.010567187691056214,3.5196858868262195,4.681778409547459,0.10432773010232478,1.7656805633985528,0.02731006412210472,0.0031588210215353,0.1669719278845742,1.0593630230937192,0.20213295324742048,0.18714990908935222,1.0191086125358566,1.6207573609881405,2.8963615500021405,0.2691882591343066,0.3492198857687203,0.0005195294986513678,1.4709998437941518,4.962449111170099,0.030409561309243483,0.4666977471892794,0.17514492293958983,0.011621549651068203,0.00562688239928073,0.021409970681166245,0.0650242629575716
L5 IT CTX Glut,1.171999967656458,1.414914244966711,0.011344926271637815,2.93727806488016,4.6121629083888145,0.09955682973368842,1.1602119872636485,0.02675913294274301,0.0022776890079893477,0.06469144798934753,0.944341485,0.2795613927030626,0.148524107942743,0.8280051923968043,1.7626409207456726,2.576723365878828,0.21374203143808257,0.2132703919840213,0.0002957348868175766,1.5897067890812249,4.551465467856191,0.0796664657057257,0.1618405090479361,0.6996484101864181,0.09428941021970706,0.00489949137816245,0.005640280306258323,0.10202784367509987
L5 ET CTX Glut,1.1568742111208405,1.8196848933975482,0.024206278616462348,6.352069036462347,1.307573256987741,0.07930261788091068,0.6403656716462347,0.027296294080560418,0.0025268331173380035,3.9601457287215407,0.8322348225394046,0.008259068633975481,0.22911970436077056,0.3146023001576182,5.938904576164623,1.058942905446585,0.0767851818038529,1.0289702193345007,0.07762385509632225,1.550139752486865,4.604183486322242,0.019599051558669003,0.17471279665499123,0.05185049441330998,0.31906907497373027,0.002852357915936953,0.0016201663922942207,0.12228758264448336
L5 NP CTX Glut,0.2296711017930668,0.10496584466728649,0.21636021758533672,5.462782529884447,0.2483075504449462,0.09951501276397928,8.151841983052199,0.01818731386638332,0.002280229618807279,4.353538408912207,0.3384646664098818,0.26271498148492495,0.10393376315579758,0.06430842968521716,3.226001980316111,1.0925687490237748,0.18094802882188868,0.02525296663567539,0.0007668103333776066,0.13872808371629697,2.171215492801169,0.25055894121397265,0.02805632583344402,1.3408806570726524,0.007124793956700757,0.003598970288218887,0.0,0.513274550033205
L6 IT CTX Glut,0.4750538901232153,1.9334678776452179,0.003914875317817329,3.630192246577352,4.547653087556229,0.10561768300410718,0.25916354511050266,0.028616591648738508,0.0019088260267944455,0.04867697113240759,0.8847452775425386,0.04385417844220614,0.3405868565030315,0.06994336285448856,3.4811900548797183,2.9883947114756504,0.03520695308038333,0.6744630800215138,0.00027504159495403874,1.6564354203843146,3.8478134102777237,0.017246612903383533,0.043199682803637784,2.952113892440837,0.2724145363827499,0.002363043746332877,0.032300321988069626,0.19523454717876002
L6 CT CTX Glut,0.806893803605882,0.8524999030713876,0.020801003723210098,7.599598947538718,0.4021783198571205,0.10285076518746415,0.47049908233821763,0.028812224472023775,0.0038582939771601397,0.34747731742712623,0.48845838731031965,0.01537785298013245,0.14558694290556395,0.5115393641367263,3.4988549615607236,1.5951543777989259,0.01921221797204985,0.9749121695859624,0.0002846508577984043,0.9284391171690045,1.3859141648745894,0.005452511688480993,0.038073518324034,1.7464611865177033,0.00858239395890911,0.003980114827658132,0.0028400653725817386,0.6415528600380664
L6b CTX Glut,0.7881774962974203,0.07378776694992413,0.6022407482245827,6.242459145462823,2.761067253292868,0.07232293086494689,0.19617164898330802,0.13214124361153262,0.002006629013657056,0.32544484804248863,0.42543125869499243,0.012571463277693476,0.0934391477693475,0.08815613754172989,0.6250744345371776,2.266766554962064,0.006941198209408194,2.5977046289226102,0.025754159028831564,0.3310130749924127,0.4670224504400607,0.005592941031866464,0.046786215629742035,3.8577138343854322,0.019199721608497724,0.0016840344461305009,0.0017259481942336874,0.7649851093474962
L4 RSP-ACA Glut,0.5295743001481482,2.0637846570370373,0.008357798518518518,2.923397686962963,0.27974099037037037,0.061702383111111106,6.947542516296297,0.01738576474074074,0.0,0.27300454074074076,1.2037076565925926,0.01597714962962963,0.08370059051851851,1.7058739398518517,2.152935000888889,3.384280650814815,0.1561255211851852,1.304027072,0.0,0.10029605999999999,5.385319266518518,0.04070633096296296,0.04352830014814815,0.0333543274074074,0.014863139851851852,0.0,0.0,0.0
Pvalb Gaba,0.15250319111706512,0.5054994670239077,0.130014829286892,3.605370345774938,3.995216324154988,0.11567581201566364,1.6918956395094806,0.025048738437757623,0.0020422503297609232,1.1855825212695796,0.6812052591096455,0.007062601669414674,0.03585327955482275,0.7136687440643034,6.852309068796372,1.1864248748969497,0.04730625059769167,0.02013425072135202,0.0,0.2899018755152515,2.7478079588829347,0.0031902002679307503,0.07811816982687551,1.6283366179307501,0.11582393602638086,0.0040485460016488044,0.0312818093569662,0.02682224767106348
Pvalb chandelier Gaba,1.3422286297872341,0.05891114432624113,0.25566051205673757,7.7996909875886535,1.6709854528368793,0.12180743652482269,0.09126633581560283,0.0,0.0,0.1691145925531915,0.5562550982269504,0.0,0.047612196808510636,0.8550249918439716,3.477424233333333,0.7297176035460993,0.0,0.021870401773049646,0.0,0.02155925709219858,3.2647802868794327,0.04107580496453901,0.0,0.6337113226950355,0.0,0.021738441134751773,0.0,0.03769766666666667
Sst Gaba,1.238729889791734,0.4215717430020503,0.12094074912053525,2.4787535082982624,1.7714598817956189,0.1577065642063235,0.6832148648429912,0.02089690018344664,0.003000039775547642,0.35666078432070786,0.537835488842128,0.006793280360418689,0.04087408873421819,1.0126783692996655,3.4368222936441137,1.0543347674112442,0.027307441879788497,0.48362554204165314,0.0,0.9604743934498758,2.0210792281752457,0.0021018640444588326,0.0987749101003561,0.4295687490449984,0.7186572224560268,0.002979748613359232,0.0006208623610661487,0.1294429931477285
Sst Chodl Gaba,3.463198481578947,0.5923237480861244,0.21802670167464114,3.778009477751196,1.9901769942583731,0.15447839784688996,1.4742382327751196,0.013484882775119618,0.0,0.22147543684210527,0.5374622009569378,0.010463806937799044,0.07584113708133972,4.504299248086125,8.522052577272726,4.756797821531101,0.03538878086124402,0.15903411889952151,0.0,0.17785848205741628,1.9929031184210528,0.0,0.0,4.1162634940191385,0.3626366502392344,0.13194091244019138,0.0,0.045819787081339707
Vip Gaba,0.19546780525731722,0.08096268178665557,0.0070634453322236095,0.9766075456373977,0.37542015038146764,0.0930861951449577,4.588850565501456,2.8382206089332778,0.020382747995561102,3.5059378975447357,0.4225328130392565,0.006674107768067693,0.09128655200443889,1.3481789318768207,4.444677953766126,5.870909451782494,0.012244997475378,0.5089338289360521,0.0,0.6873192754057428,2.4095580571507837,0.008566687820779581,0.02313152331807463,0.510956027895686,0.048908509196837285,0.0029329241226244973,0.045291830628381186,0.022795050201137465
Lamp5 Gaba,0.3804382686048743,0.7587943772788333,0.006801187180963347,4.259953404797544,4.432007479620035,0.10685876975628479,0.9512749307426597,0.692483375494147,0.03456604185377087,0.7794473618115525,0.8590408225292651,0.026374755670696606,0.019557048704663214,0.857482493513721,8.42250891986183,4.092966302072539,0.023521866551525616,0.6122338416618691,0.006227330147764345,0.45248203095375167,1.7313172163308386,0.012128278123200921,0.11373874951065055,0.7792880561312607,0.2280651773172136,0.00537158234503934,0.0009396982536941087,0.01082606987142583
Lamp5 Lhx6 Gaba,0.046482271465295634,0.058473275578406175,0.0,2.362931173521851,3.524692252442159,0.15874855784061698,0.5406103781491003,0.012000248071979434,0.0,0.10701445115681234,0.48698386632390744,0.0,0.0,3.2086318701799486,8.019622650642674,0.12877491748071979,0.0,0.0,0.0,0.04580707583547558,2.167579096658098,0.030118911053984572,0.0,0.23163016478149098,0.14539403624678662,0.0,0.0,0.0
Sncg Gaba,0.33332317801794453,0.07063377169657423,0.008563007830342577,1.109839221451876,1.496010304486134,0.09219418307504078,7.040863169820554,6.143070126141925,0.12760193613376836,0.6734998442903752,0.9054189968189233,0.011265820799347473,0.20158579139477978,2.955893929445351,4.194317101753671,5.0387216476753665,0.004576543800978793,1.4229545399265906,0.0,1.5722853125611744,2.4790112941272433,0.0047377911908646,0.04414668756117455,0.8066996111337683,0.6539139822185971,0.0025090986949429035,0.04379848544045677,0.023720588825448613
